model_index,model_path,features,model_save_path,initial_balance,risk_per_trade,fee_percent,sl_multiplier,tp_multiplier,window_size,total_timesteps,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,ent_coef,n_envs,vec_env_type,device,plot_every,model_verbose,tensorboard_log,tb_log_name,log_interval,val_final_balance,val_total_return_%,val_total_trades,val_win_rate_%,val_avg_win_%,val_avg_loss_%,val_avg_trade_pnl_%
1,framework\ai\models\ppo_grid\model_001,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_001,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.95,0.0,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_001,1,10544.373908532261,5.443739085322613,47296,44.709912043301756,0.06820751885672109,-0.051098829785144836,0.0022429337547084888
2,framework\ai\models\ppo_grid\model_002,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_002,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.95,0.0025,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_002,1,10623.326838716084,6.233268387160843,46942,44.87239572238081,0.06767595654598796,-0.05041066722972614,0.0025776298861111607
3,framework\ai\models\ppo_grid\model_003,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_003,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.95,0.005,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_003,1,10589.946480698125,5.89946480698125,47225,44.83430386447856,0.06820144716639003,-0.05102572927325923,0.002428945300730878
4,framework\ai\models\ppo_grid\model_004,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_004,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.965,0.0,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_004,1,10596.881506143043,5.9688150614304325,47296,44.910774695534506,0.0681577988246663,-0.05111200602332231,0.002452987311761482
5,framework\ai\models\ppo_grid\model_005,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_005,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.965,0.0025,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_005,1,10619.068979275273,6.190689792752728,47118,44.7726983318477,0.0681576764999609,-0.05063620572517837,0.0025510208001736775
6,framework\ai\models\ppo_grid\model_006,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_006,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.965,0.005,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_006,1,10492.455065707463,4.924550657074633,46244,44.64795432921028,0.06723583248724183,-0.05047511926634387,0.0020804127130760676
7,framework\ai\models\ppo_grid\model_007,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_007,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.98,0.0,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_007,1,10669.896592161767,6.698965921617674,46874,44.982292955583056,0.06804125860054074,-0.05059914511701917,0.0027680288469002687
8,framework\ai\models\ppo_grid\model_008,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_008,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.98,0.0025,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_008,1,10677.886405422027,6.778864054220267,45757,45.02261948991411,0.06803221867802092,-0.05049641742017999,0.002868279396898139
9,framework\ai\models\ppo_grid\model_009,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_009,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.99,0.98,0.005,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_009,1,10555.328290118947,5.553282901189468,46170,44.91228070175438,0.06682359326395536,-0.050228026870700285,0.0023425253301275284
10,framework\ai\models\ppo_grid\model_010,"['rel_body', 'upper_wick', 'lower_wick', 'macd_hist', 'rsi', 'sqz', 'sqz_on', 'st_dist', 'ema_spread', 'dd_pct', 'log_return', 'adx', 'psar_dist', 'natr', 'bb_width', 'ui', 'cmf', 'mfi', 'volume_ratio']",framework\ai\models\ppo_grid\model_010,10000,0.05,0.0,0.5,1.0,1,500000,0.0003,2048,64,10,0.995,0.95,0.0,8,subproc,auto,2048,1,framework/ai/training/tensorboard,PPO_010,1,10664.830241860293,6.648302418602925,47282,44.66816124529419,0.0687121108549291,-0.05054658398214139,0.0027240821267144966
