time/iterations,time/time_elapsed,time/fps,time/total_timesteps,trade/action,trade/exit_price,trade/tp_price,trade/sl_price,trade/entry_price,trade/balance,trade/trade_pnl,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl
1,14,8757,131072,0,24294.45,24362.53986828173,24204.785065859134,24257.37,9945.126274644763,0.0015286075943105847,,,,,,,,,,
2,98,2668,262144,2,0.0,0.0,0.0,0.0,9950.524412415309,0.0,10,0.0003,-0.012762172147631645,0.2,-1.092819917370798,0.04293899536132813,0.003110376275587612,-0.0013140341148016432,-2.3476152420043945,0.006247813
3,187,2091,393216,2,0.0,0.0,0.0,0.0,9940.581630449351,0.0,20,0.0003,-0.008044329471886158,0.2,-1.0834990667586681,0.1003326416015625,0.000978624285046692,-0.004720431533337432,-1.1045901775360107,0.009732721
4,283,1851,524288,2,0.0,0.0,0.0,0.0,9963.450376488152,0.0,30,0.0003,-0.005256718955934048,0.2,-1.054083412879845,0.11884384155273438,0.0005904639590987415,-0.005723865244840453,-1.2387022972106934,0.009812176
5,384,1705,655360,0,30044.56,30078.962637227636,30014.18868138618,30035.78,9980.046793609104,0.0002923180286978555,40,0.0003,-0.024430131539702415,0.2,-1.017400894651655,0.16910247802734374,0.00032185660606174336,-0.010723409817251195,-2.197206497192383,0.012640493
6,490,1601,786432,2,0.0,0.0,0.0,0.0,9960.250087380393,0.0,50,0.0003,0.011510762386023998,0.2,-0.9358493362058653,0.17121047973632814,0.0002289987589129794,-0.017196965586026635,-0.7616722583770752,0.031358957
7,605,1515,917504,1,27402.596222845266,27402.596222845266,27459.226888577363,27440.35,9974.480318486936,0.0013758489652913406,60,0.0003,-0.03118203580379486,0.2,-0.8143099257838913,0.1126007080078125,0.0001325674794690812,-0.014978662141174937,-0.13013029098510742,0.04476058
8,726,1442,1048576,1,28269.606070713602,28269.606070713602,28426.526964643203,28374.22,9997.313087288492,0.0036869358624271984,70,0.0003,-0.011158754117786884,0.2,-0.7633852755185216,0.09235458374023438,0.00011098731062428869,-0.011269778148442811,0.09613752365112305,0.038534887
9,850,1386,1179648,1,27623.58,27581.040873996204,27665.579563001902,27637.4,9989.597279937449,0.0005000470377097596,80,0.0003,-0.02565755508840084,0.2,-0.73091424103186,0.07514266967773438,6.284174185031688e-05,-0.0031942994212954545,0.36670392751693726,0.028172586
10,979,1338,1310720,2,0.0,0.0,0.0,0.0,10025.125827606316,0.0,90,0.0003,0.02129870280623436,0.2,-0.7079448228381807,0.08870925903320312,2.918245392740104e-05,0.01654975964731875,-0.7630795240402222,0.04294859
11,1112,1295,1441792,0,27201.98,27209.029061762136,27187.850469118934,27194.91,10027.830563532709,0.00025997512034420077,100,0.0003,-0.015361303463578224,0.2,-0.7941897918848554,0.1768218994140625,0.00032122353871564255,-0.006945503923520846,0.03451019525527954,0.027213037
12,1254,1254,1572864,0,27786.39,27790.200884330858,27756.374557834573,27767.65,10067.8704548708,0.0006748860634586636,110,0.0003,0.06477589160203934,0.2,-0.7914254902018001,0.11621322631835937,0.0003811465893178934,-0.004934567237989995,0.37842655181884766,0.014606137
13,1399,1217,1703936,2,0.0,0.0,0.0,0.0,10102.688193146618,0.0,120,0.0003,-0.013680732809007168,0.2,-0.7690616889856756,0.10534744262695313,0.00039125900065215544,-0.003888951831288523,0.601763904094696,0.011584996
14,1550,1183,1835008,2,0.0,0.0,0.0,0.0,10114.343781511865,0.0,130,0.0003,0.049501847475767136,0.2,-0.7893539271288319,0.11074371337890625,0.0003863642434485115,-0.0051298387319263835,0.6481565833091736,0.013364257
15,1707,1151,1966080,1,28907.796521733526,28854.406956532945,28907.796521733526,28890.0,10139.164811258832,-0.0006160097519392827,140,0.0003,-0.02163584530353546,0.2,-0.9378994317317847,0.168865966796875,0.0004849500279831886,-0.008314643246410468,0.23521804809570312,0.013431019
16,1869,1121,2097152,1,30243.503222826057,30243.503222826057,30283.00838858697,30269.84,10157.172389105932,0.0008700666133003385,150,0.0003,-0.0013521640794351697,0.2,-0.8694259200070519,0.17081832885742188,0.00038785816064326186,-0.006655716389934696,0.8251326680183411,0.015775636
17,2036,1094,2228224,2,0.0,0.0,0.0,0.0,10139.88726086811,0.0,160,0.0003,-0.05402989313006401,0.2,-0.657434334847494,0.12379150390625,0.0003023576623840896,0.016510058581400245,-1.025251865386963,0.2015052
18,2210,1067,2359296,1,30459.35,30435.597573463627,30506.371213268187,30482.78,10187.587923187693,0.0007686306826345987,170,0.0003,-0.026027027517557144,0.2,-0.7385333568119676,0.1067352294921875,0.00023840006144908442,-0.003930042985621185,-1.7384679317474365,0.011741916
19,2388,1042,2490368,1,29979.406708634135,29979.406708634135,30032.826645682933,30015.02,10189.801728182309,0.0011865156633534056,180,0.0003,-0.006856697145849466,0.2,-0.7117983656586148,0.115911865234375,0.0001215594060736791,-0.00022594603597099195,-0.9949942827224731,0.046593804
20,2572,1019,2621440,0,29480.44,29512.06681051927,29457.981594740362,29476.01,10222.8906053604,0.00015029171180225179,190,0.0003,-0.0014578839763998985,0.2,-0.7028202074259753,0.107781982421875,0.0001470037937490787,-0.005045382143498501,-0.9183517694473267,0.012010982
21,2760,997,2752512,1,29219.40860126526,29188.42279746949,29219.40860126526,29209.08,10251.788085981183,-0.0003536092634638619,200,0.0003,-0.03699304535984993,0.2,-0.6229619785008254,0.1045684814453125,0.00010208027047529101,0.001262669940535943,0.351585328578949,0.048740532
22,2954,976,2883584,1,29546.64,29534.611211861284,29554.13939406936,29547.63,10295.534258599004,3.3505225292234967e-05,210,0.0003,-0.05413147807121277,0.2,-0.6575384354786366,0.19210052490234375,6.184866975829095e-05,0.017992953320595008,-0.2846968173980713,0.09532027
23,3153,955,3014656,1,28675.262554943827,28675.262554943827,28697.683722528087,28690.21,10305.01104461904,0.0005209946199826352,220,0.0003,-0.04892836883664131,0.2,-0.6668207719165367,0.151727294921875,0.00010015078001135436,0.004628266615509346,0.20193696022033691,0.032957815
24,3358,936,3145728,0,26433.88,26467.141538161664,26429.429230919166,26442.0,10346.459893259422,-0.00030708720974203846,230,0.0003,-0.028994839638471603,0.2,-0.633281190393609,0.12661514282226563,0.00015918995205002062,-0.009046255665555235,0.5234251618385315,0.015872069
25,3568,918,3276800,0,27235.67,27260.611228743994,27162.194385628,27195.0,10363.360787214473,0.0014954954954954313,240,0.0003,-0.019602183252573013,0.2,-0.6651285450527211,0.12375259399414062,0.00013224638867317395,-0.0042973449324335885,-0.5727834701538086,0.019230263
26,3783,900,3407872,1,25786.55693782408,25733.166124351836,25786.55693782408,25768.76,10408.501715686305,-0.0006906400550155071,250,0.0003,-0.012024816125631332,0.2,-0.6214869652147172,0.10895156860351562,8.230924110037563e-05,-0.0011958814947263363,-0.9860154390335083,0.018371508
27,4004,883,3538944,0,26624.446517751483,26688.836964497033,26624.446517751483,26645.91,10436.065612772894,-0.0008055075712751717,260,0.0003,-0.015248773619532585,0.2,-0.5966735609486932,0.08572921752929688,5.8008491050509646e-05,-0.0016099897767048788,0.035490334033966064,0.011008484
